time,mem_a,pulse_a,mem_b,pulse_b,i_b
0.002497500,0.015402,0.000000,0.002166,0.000000,0.000000e0
0.002497750,0.015649,0.000000,0.002166,0.000000,0.000000e0
0.002498000,0.015895,0.000000,0.002165,0.000000,0.000000e0
0.002498250,0.016142,0.000000,0.002165,0.000000,0.000000e0
0.002498500,0.016389,0.000000,0.002165,0.000000,0.000000e0
0.002498750,0.016635,0.000000,0.002164,0.000000,0.000000e0
0.002499000,0.016882,0.000000,0.002164,0.000000,0.000000e0
0.002499250,0.017128,0.000000,0.002163,0.000000,0.000000e0
0.002499500,0.017375,0.000000,0.002163,0.000000,0.000000e0
0.002499750,0.017621,0.000000,0.002162,0.000000,0.000000e0
0.002500000,0.017868,0.000000,0.002162,0.000000,0.000000e0
0.002500250,0.018114,0.000000,0.002161,0.000000,0.000000e0
0.002500500,0.018360,0.000000,0.002161,0.000000,0.000000e0
0.002500750,0.018606,0.000000,0.002160,0.000000,0.000000e0
0.002501000,0.018852,0.000000,0.002160,0.000000,0.000000e0
0.002501250,0.019098,0.000000,0.002160,0.000000,0.000000e0
0.002501500,0.019344,0.000000,0.002159,0.000000,0.000000e0
0.002501750,0.019590,0.000000,0.002159,0.000000,0.000000e0
0.002502000,0.019836,0.000000,0.002158,0.000000,0.000000e0
0.002502250,0.020082,0.000000,0.002158,0.000000,0.000000e0
0.002502500,0.020328,0.000000,0.002157,0.000000,0.000000e0
0.002502750,0.020574,0.000000,0.002157,0.000000,0.000000e0
0.002503000,0.020819,0.000000,0.002156,0.000000,0.000000e0
0.002503250,0.021065,0.000000,0.002156,0.000000,0.000000e0
0.002503500,0.021311,0.000000,0.002156,0.000000,0.000000e0
0.002503750,0.021556,0.000000,0.002155,0.000000,0.000000e0
0.002504000,0.021802,0.000000,0.002155,0.000000,0.000000e0
0.002504250,0.022047,0.000000,0.002154,0.000000,0.000000e0
0.002504500,0.022293,0.000000,0.002154,0.000000,0.000000e0
0.002504750,0.022538,0.000000,0.002153,0.000000,0.000000e0
0.002505000,0.022783,0.000000,0.002153,0.000000,0.000000e0
0.002505250,0.023029,0.000000,0.002152,0.000000,0.000000e0
0.002505500,0.023274,0.000000,0.002152,0.000000,0.000000e0
0.002505750,0.023519,0.000000,0.002152,0.000000,0.000000e0
0.002506000,0.023764,0.000000,0.002151,0.000000,0.000000e0
0.002506250,0.024009,0.000000,0.002151,0.000000,0.000000e0
0.002506500,0.024254,0.000000,0.002150,0.000000,0.000000e0
0.002506750,0.024499,0.000000,0.002150,0.000000,0.000000e0
0.002507000,0.024744,0.000000,0.002149,0.000000,0.000000e0
0.002507250,0.024989,0.000000,0.002149,0.000000,0.000000e0
0.002507500,0.025234,0.000000,0.002148,0.000000,0.000000e0
0.002507750,0.025478,0.000000,0.002148,0.000000,0.000000e0
0.002508000,0.025723,0.000000,0.002147,0.000000,0.000000e0
0.002508250,0.025968,0.000000,0.002147,0.000000,0.000000e0
0.002508500,0.026212,0.000000,0.002147,0.000000,0.000000e0
0.002508750,0.026457,0.000000,0.002146,0.000000,0.000000e0
0.002509000,0.026701,0.000000,0.002146,0.000000,0.000000e0
0.002509250,0.026946,0.000000,0.002145,0.000000,0.000000e0
0.002509500,0.027190,0.000000,0.002145,0.000000,0.000000e0
0.002509750,0.027434,0.000000,0.002144,0.000000,0.000000e0
0.002510000,0.027679,0.000000,0.002144,0.000000,0.000000e0
0.002510250,0.027923,0.000000,0.002143,0.000000,0.000000e0
0.002510500,0.028167,0.000000,0.002143,0.000000,0.000000e0
0.002510750,0.028411,0.000000,0.002143,0.000000,0.000000e0
